,buyprice,buytime,date,pnl,pos,quantity,sellprice,selltime,sl,target,type
78,270.65,13:15:00,2020-12-07,-134.93938861068386,closed,100.0,269.30060611389314,13:30:00,269.30060611389314,272.5149924519837,buy
79,269.97354122596875,09:35:00,2020-12-08,-252.35412259687564,closed,100.0,267.45,09:25:00,269.97354122596875,264.92645877403123,sell
80,271.05,09:40:00,2020-12-08,-266.99128983581204,closed,100.0,268.3800871016419,10:30:00,268.3800871016419,274.00823655373125,buy
81,265.5287761143819,11:25:00,2020-12-08,227.12238856180988,closed,100.0,267.8,10:40:00,268.5430452422187,265.5287761143819,sell
82,270.2,12:50:00,2020-12-08,238.17679052814356,closed,100.0,272.5817679052814,13:00:00,268.87890888524663,272.5817679052814,buy
83,270.95,13:05:00,2020-12-08,29.39820032780176,closed,100.0,271.243982003278,13:05:00,270.65601799672197,271.243982003278,buy
84,271.55,13:10:00,2020-12-08,-89.39820032780403,closed,100.0,270.65601799672197,13:30:00,270.65601799672197,272.44398200327805,buy
85,271.4,13:35:00,2020-12-08,74.39820032780062,closed,100.0,272.143982003278,13:40:00,270.65601799672197,272.143982003278,buy
86,272.35,13:45:00,2020-12-08,-50.0,closed,100.0,271.85,15:20:00,270.6941933404388,274.0439820032781,buy
87,273.35,09:20:00,2020-12-09,-123.18512416948693,closed,100.0,272.11814875830515,10:30:00,272.11814875830515,275.7236012907357,buy
88,270.2238607265948,12:20:00,2020-12-09,122.6139273405181,closed,100.0,271.45,12:05:00,272.0846728114582,270.2238607265948,sell
89,269.8153271885418,12:40:00,2020-12-09,113.46728114581879,closed,100.0,270.95,12:25:00,272.0275438315977,269.8153271885418,sell
90,270.98045900791124,13:25:00,2020-12-09,-138.0459007911213,closed,100.0,269.6,12:45:00,270.98045900791124,267.6389394964059,sell
91,272.3,14:15:00,2020-12-09,-107.6822296482419,closed,100.0,271.2231777035176,14:40:00,271.2231777035176,273.61035810720267,buy
92,270.4,15:20:00,2020-12-09,-14.999999999997726,closed,100.0,270.25,14:55:00,271.9727257937584,268.5272742062416,sell
93,268.585763086866,10:55:00,2020-12-10,-38.57630868660067,closed,100.0,268.2,09:15:00,268.585763086866,266.3729328407953,sell
94,267.76155644154835,12:25:00,2020-12-10,-51.155644154835045,closed,100.0,267.25,11:50:00,267.76155644154835,265.6352047595245,sell
95,265.8384435584517,13:30:00,2020-12-10,96.15564415483391,closed,100.0,266.8,12:40:00,267.67993364699464,265.8384435584517,sell
96,267.1107786906199,14:25:00,2020-12-10,-121.0778690619918,closed,100.0,265.9,13:35:00,267.1107786906199,264.58916668270746,sell
97,268.35,14:35:00,2020-12-10,170.29193989157534,closed,100.0,270.0529193989158,14:50:00,267.6323852868783,270.0529193989158,buy
98,269.5,14:55:00,2020-12-10,39.999999999997726,closed,100.0,269.9,15:20:00,268.3716467581904,270.6283532418096,buy
99,272.15,09:15:00,2020-12-11,228.71928126461967,closed,100.0,274.4371928126462,09:25:00,271.0765264686184,274.4371928126462,buy
100,275.4,09:30:00,2020-12-11,-231.05135604191105,closed,100.0,273.08948643958087,10:40:00,273.08948643958087,277.7105135604191,buy
101,273.85,13:45:00,2020-12-11,-140.16392049205706,closed,100.0,272.44836079507945,14:00:00,272.44836079507945,275.2516392049206,buy
102,272.25,15:20:00,2020-12-11,-69.99999999999886,closed,100.0,271.55,14:15:00,273.28775388698426,269.7684745092978,sell
103,274.85,09:15:00,2020-12-14,-51.84497095522147,closed,100.0,274.3315502904478,12:15:00,274.3315502904478,276.9695003252504,buy
104,272.6809915711379,12:55:00,2020-12-14,121.90084288620824,closed,100.0,273.9,12:35:00,274.8313321446405,272.6809915711379,sell
105,274.21569893017636,13:10:00,2020-12-14,-66.56989301763474,closed,100.0,273.55,13:00:00,274.21569893017636,272.88430106982366,sell
